species_id,gear,encount_prob,E_scaled,sumA,A_scaled,sel0123,pcm,geomean
ITS-Mam-180505,LLT,0.2,1.399920040424008,91.724153,1.1563082645463667,1,1,1.1279613407855356
ITS-Mam-180492,GND,0.01,1.019344153693276,671.2037083,2.14382014725084,2,2,1.7194608580149058
ITS-Mam-180492,LLT,0.2,1.399920040424008,517.0996201,1.8812058464028072,1,1,1.273898680037042
ITS-Mam-180513,GND,0.01,1.019344153693276,81.37971734,1.1386799409227086,2,2,1.4678971405414372
ITS-Mam-180513,LLT,0.2,1.399920040424008,139.380902,1.2375218388616855,1,1,1.1472657423013877
ITS-Mam-180517,GND,0.01,1.019344153693276,546.8493876,1.931903491635064,2,2,1.6752960471928413
ITS-Mam-180517,LLT,0.2,1.399920040424008,471.8718892,1.8041316489043504,1,1,1.2606451692760108
ITS-Mam-180510,GND,0.01,1.019344153693276,1082.070536,2.8439930366166934,2,2,1.8453440085890704
ITS-Mam-180510,LLT,0.2,1.399920040424008,728.5366224,2.241523221373125,1,1,1.3309496251528965
ITS-Mam-180511,GND,0.01,1.019344153693276,69.84524276,1.1190236293163296,2,2,1.4615208697567683
ITS-Mam-180511,LLT,0.2,1.399920040424008,114.6229141,1.1953308641853724,1,1,1.1373597135224711
ITS-Mam-180508,GND,0.01,1.019344153693276,87.18122436,1.148566497001253,2,2,1.4710730623501143
ITS-Mam-180508,LLT,0.2,1.399920040424008,145.2497923,1.2475232252031565,1,1,1.1495767391553968
Rep-4381,GND,0.01,1.019344153693276,984.5215993,2.6777563967639457,3,3,2.226299572061743
Rep-4381,PST,0.14,1.2909967106296945,354.8404113,1.6046941122049154,3,2,1.8776608939347055
Rep-4381,LLT,0.2,1.399920040424008,643.1333094,2.09598437424992,3,2,2.048380488677285
ITS-Mam-180488,GND,0.008,1.015342828751242,516.3778602,1.879975869484397,2,2,1.6622878976867848
ITS-Mam-180488,LLT,0.16,1.3199160424452083,491.2498779,1.8371543740879093,1,1,1.2478804751720216
ITS-Mam-180507,GND,0.008,1.015342828751242,27.21161551,1.0463701368382867,2,2,1.435785319242467
ITS-Mam-180507,LLT,0.16,1.3199160424452083,55.92782454,1.095306458031999,1,1,1.0965299264495865
ITS-Mam-180498,GND,0.00666666666666666,1.0126752787898865,632.4810765,2.077831522316016,2,2,1.7032764137155025
ITS-Mam-180498,LLT,0.13333333333333333,1.266580043792675,546.9674184,1.9321046321523767,1,1,1.2507364905515514
Fis-29459,GND,0.35,1.6995693938390195,22.27189294,1.0379521785332468,1,2,1.370523733036623
Fis-161453,GND,0.5,1.9996687644915536,18.55538787,1.0316187490184534,1,3,1.577246731247579
Fis-161453,PST,0.03571428571428571,1.0739597628301156,11.07575018,1.0188724303094605,1,2,1.2162824890374668
Fis-161453,LLT,0.025,1.0499025492667595,47.21603922,1.08046039237811,1,2,1.2272893321260199
Fis-132130,GND,0.45,1.899635640940709,61.4300002,1.1046829128098807,1,2,1.4313125699611817
Fis-64122,GND,0.6,2.199735011593243,50.67804609,1.086360122387324,1,2,1.4785756324224635
Fis-23322,GND,0.22848101265822784,1.4564509163483592,470.8373716,1.802368690377991,3,3,2.2046796796427377
Fis-23322,PST,0.28214285714285714,1.5868210435893944,127.0868984,1.2165711866256004,3,3,2.0416298029766473
Fis-23322,LLT,0.1975,1.394919790550333,280.6021881,1.47818209484321,3,3,2.0755343278002045
Fis-23070,GND,0.12985611510791367,1.2591357851115597,494.4217668,1.8425597036646304,3,3,2.1376380009198668
Fis-23070,PST,0.49642857142857144,2.0327873746844194,141.0016636,1.2402838368034463,2,3,1.972155124006134
Fis-23070,LLT,0.3475,1.6949347829708314,322.55222,1.5496706479805766,3,3,2.205000677425126
Fis-23059,GND,0.1195364238410596,1.238489566081484,368.8234528,1.6285231144730816,3,3,2.0641069548561295
Fis-23059,PST,0.5392857142857143,2.1219806409034243,118.5201503,1.2019722840974407,2,3,1.9778656149062361
Fis-23059,LLT,0.3775,1.7549377814549312,263.759466,1.4494798083540368,3,3,2.1874044978421643
Fis-23274,GND,0.06036789297658862,1.120113306915732,1105.870555,2.8845515021503476,3,3,2.3221789870417022
Fis-23274,PST,0.9297778308647876,2.9346635448141587,425.9033059,1.725794938273827,2,3,2.347873475963969
Fis-23274,LLT,0.7475,2.4949747627588277,731.5055423,2.2465826642011466,3,3,2.6650647647016674
Fis-20033,GND,0.0475,1.0943689963564094,800.5628172,2.3642656418441357,3,3,2.196724735746625
Fis-20033,PST,0.7315883458646616,2.522196303207605,379.1188153,1.6460678107656657,3,3,2.472391712327352
Fis-20033,LLT,0.95,2.8999950025265004,656.984253,2.1195882637514023,3,3,2.727236598113447
Fis-23222,GND,0.01806806806806806,1.0354856346906696,486.6164411,1.8292583683429071,3,3,2.031961193699827
Fis-23222,PST,0.2782818532818533,1.578785614200295,267.4294371,1.455733937662457,3,3,2.1326123466120284
Fis-23222,LLT,0.3984009009009009,1.7967416722907004,491.1879151,1.837048781059258,3,3,2.334598540580095
Fis-28560,GND,0.8,2.599867505796621,473.410285,1.8067532843337764,1,3,1.937504995413769
Fis-28560,PST,0.05714285714285714,1.118556395939618,113.3572971,1.1931740808872873,1,2,1.2781973798253017
Fis-28560,LLT,0.04,1.0799040485088094,201.4698905,1.343329909859305,1,2,1.3051170472642089
Fis-140161,GND,0.8,2.599867505796621,205.087938,1.3494955542996676,3,3,2.3705072937167797
Fis-140161,PST,0.05714285714285714,1.118556395939618,43.00655482,1.0732868591153064,2,3,1.6382539998703678
Fis-140161,LLT,0.04,1.0799040485088094,104.4602014,1.1780122211720463,3,3,1.8394770284611586
Fis-25892,GND,0.9,2.799933752898311,372.0030634,1.6339416028755718,1,2,1.7392161943264999
Fis-23063,GND,0.2219178082191781,1.443320159537541,569.1537325,1.9699131253197004,3,3,2.24912226702943
Fis-23063,PST,0.26071428571428573,1.542224410479892,153.9178734,1.262294812929085,2,3,1.8486934615801263
Fis-23063,LLT,0.1825,1.3649182913082831,329.0534479,1.56074962349352,3,3,2.09252473586776
Fis-25233,GND,0.01475409836065573,1.0288554998669628,87.87327491,1.1497458451513414,3,3,1.8063407748408336
Fis-25233,PST,0.2513791308873276,1.5227963083207736,34.47184075,1.058742546925989,3,3,1.9517252138946053
Fis-25233,LLT,0.3606648451730418,1.7212657891362126,91.37862355,1.1557194354244786,3,3,2.057006745227003
Fis-25603,GND,0.85,2.699900629347466,443.6691581,1.756070363857718,1,3,1.9420157023585565
Fis-25603,PST,0.06071428571428571,1.125989168124535,124.3131991,1.2118444262200827,1,2,1.285294856277003
Fis-25603,LLT,0.0425,1.0849042983824844,279.8031121,1.4768203607872512,1,2,1.3379419602746896
Fis-6035,GND,0.85,2.699900629347466,454.3059129,1.7741968390065708,1,3,1.9470078790157417
Fis-6035,PST,0.06071428571428571,1.125989168124535,127.4379558,1.217169436125243,1,2,1.2867044759071895
