gear,x,y,nspp_S_cell,S_sum_cell
GND,27.75,-33.9346,80,36.8454057746563
GND,27.75,-33.4346,94,58.7600976803945
GND,27.75,-32.9346,68,33.5483121537683
GND,28.25,-44.9346,32,0.00656136128996003
GND,28.25,-44.4346,32,0.0139762537455584
GND,28.25,-43.9346,41,0.0156157644811859
GND,28.25,-43.4346,41,0.0157287817629784
GND,28.25,-42.9346,44,0.0203792263425682
GND,28.25,-42.4346,44,0.0250000383730141
GND,28.25,-41.9346,44,0.0312369476880892
GND,28.25,-41.4346,44,0.0338699469965119
GND,28.25,-40.9346,47,0.0426836785450502
GND,28.25,-40.4346,47,0.0399621296563988
GND,28.25,-39.9346,50,0.0555408339641725
GND,28.25,-39.4346,50,0.0737502001329314
GND,28.25,-38.9346,53,0.115486616156377
GND,28.25,-38.4346,53,0.108868790092434
GND,28.25,-37.9346,55,0.0746835482967326
GND,28.25,-37.4346,55,0.0602483578693992
GND,28.25,-36.9346,55,0.0383323315639322
GND,28.25,-36.4346,55,0.018799240158478
GND,28.25,-35.9346,57,0.0150835901475596
GND,28.25,-35.4346,57,0.0140270302698787
GND,28.25,-34.9346,57,0.0167506272557325
GND,28.25,-34.4346,57,1.7321456533491
GND,28.25,-33.9346,56,11.807098113203
GND,28.25,-33.4346,92,52.9788119045427
GND,28.25,-32.9346,91,55.088644792316
GND,28.75,-44.9346,32,0.0112690337966809
GND,28.75,-44.4346,32,0.0128352263171802
GND,28.75,-43.9346,41,0.0118146392444791
GND,28.75,-43.4346,41,0.0122960972858748
GND,28.75,-42.9346,44,0.0221695710401672
GND,28.75,-42.4346,44,0.0447408520350453
GND,28.75,-41.9346,44,0.0570393929803226
GND,28.75,-41.4346,44,0.0461197960532739
GND,28.75,-40.9346,47,0.0573143563961819
GND,28.75,-40.4346,47,0.0449821337875422
GND,28.75,-39.9346,50,0.0368273105592452
GND,28.75,-39.4346,50,0.0396935118511193
GND,28.75,-38.9346,53,0.0515715500446549
GND,28.75,-38.4346,53,0.0643822896054203
GND,28.75,-37.9346,55,0.0911594734500922
GND,28.75,-37.4346,55,0.119198042640288
GND,28.75,-36.9346,55,0.111998912720883
GND,28.75,-36.4346,55,0.0806454278509661
GND,28.75,-35.9346,57,0.045409286726774
GND,28.75,-35.4346,57,0.0198763178904327
GND,28.75,-34.9346,57,0.0161233140420835
GND,28.75,-34.4346,57,0.018461367025426
GND,28.75,-33.9346,56,2.8299052899136
GND,28.75,-33.4346,56,10.9591576170063
GND,28.75,-32.9346,90,26.3025286283951
GND,28.75,-32.4346,90,21.7571190148317
GND,29.25,-44.9346,32,0.00931642752869891
GND,29.25,-44.4346,32,0.0149704042598914
GND,29.25,-43.9346,41,0.0212329679953849
GND,29.25,-43.4346,41,0.0290959567627291
GND,29.25,-42.9346,44,0.0315845002445025
GND,29.25,-42.4346,44,0.0276427015728241
GND,29.25,-41.9346,44,0.0423550670769673
GND,29.25,-41.4346,44,0.0465853253886308
GND,29.25,-40.9346,47,0.0610949944458806
GND,29.25,-40.4346,47,0.0582777668621696
GND,29.25,-39.9346,50,0.055062408913617
GND,29.25,-39.4346,50,0.0456258733188416
GND,29.25,-38.9346,53,0.0437250778803087
GND,29.25,-38.4346,53,0.0527861473828669
GND,29.25,-37.9346,55,0.0988938964864982
GND,29.25,-37.4346,55,0.220999412218566
GND,29.25,-36.9346,56,0.284843423303228
GND,29.25,-36.4346,56,0.222935788313368
GND,29.25,-35.9346,57,0.10250590141911
GND,29.25,-35.4346,57,0.0244800005883129
GND,29.25,-34.9346,57,0.0158292606205987
GND,29.25,-34.4346,57,0.0215731927931826
GND,29.25,-33.9346,56,0.294812247811008
GND,29.25,-33.4346,56,2.82418942217734
GND,29.25,-32.9346,55,12.6535831460921
GND,29.25,-32.4346,90,34.1471905772488
GND,29.25,-31.9346,92,33.6761789428694
GND,29.75,-44.9346,32,0.00656087428675174
GND,29.75,-44.4346,32,0.0121522397450794
GND,29.75,-43.9346,41,0.0266649916689217
GND,29.75,-43.4346,41,0.0322772478875357
GND,29.75,-42.9346,44,0.0263909925739389
GND,29.75,-42.4346,44,0.0175029142219762
GND,29.75,-41.9346,44,0.0233090300414573
GND,29.75,-41.4346,44,0.0300141080687397
GND,29.75,-40.9346,47,0.0431267763090279
GND,29.75,-40.4346,47,0.0662469444857713
GND,29.75,-39.9346,50,0.0902367594634014
GND,29.75,-39.4346,50,0.0788302507161297
GND,29.75,-38.9346,53,0.0630058244572481
GND,29.75,-38.4346,53,0.0814950274796045
GND,29.75,-37.9346,55,0.213338984187709
GND,29.75,-37.4346,55,0.379029276624465
GND,29.75,-36.9346,56,0.501168459701349
GND,29.75,-36.4346,56,0.482248325523687
GND,29.75,-35.9346,57,0.293961894727011
GND,29.75,-35.4346,57,0.0801144507498174
GND,29.75,-34.9346,57,0.0215496780793748
GND,29.75,-34.4346,57,0.0330048159707549
GND,29.75,-33.9346,56,0.0269167383499464
GND,29.75,-33.4346,56,0.842523480079049
GND,29.75,-32.9346,55,3.55361556495046
GND,29.75,-32.4346,55,8.00989965359035
GND,29.75,-31.9346,91,18.8010776965329
GND,29.75,-31.4346,92,18.7153042275344
GND,30.25,-44.9346,30,0.00452877421672242
GND,30.25,-44.4346,30,0.0119196265015768
GND,30.25,-43.9346,39,0.0225264022317008
GND,30.25,-43.4346,39,0.0224772467008842
GND,30.25,-42.9346,42,0.0191995084020649
GND,30.25,-42.4346,42,0.0195092257437606
GND,30.25,-41.9346,42,0.0296293201290866
GND,30.25,-41.4346,42,0.0473207283929178
GND,30.25,-40.9346,47,0.0677997947609262
GND,30.25,-40.4346,47,0.0755460583548243
GND,30.25,-39.9346,50,0.0713160226051608
GND,30.25,-39.4346,50,0.0756327301179088
GND,30.25,-38.9346,53,0.0815528549206229
GND,30.25,-38.4346,53,0.118157144709038
GND,30.25,-37.9346,55,0.378427164901768
GND,30.25,-37.4346,55,0.805703752616217
