species_id,sumA,ncells_overlap,GEAR,A_scaled,ncells_spp,prop_exposure,avail123
Fis_23071,884.3969554969368,20680,GND,2.507130402318256,22346,0.9254452698469525,3
Fis_23074,575.6106935708991,1983,GND,1.980916664280859,2301,0.8617992177314211,3
Fis_23075,625.632404798439,1969,GND,2.066160455516546,2324,0.8472461273666093,3
Fis_23076,123.91541652442402,1891,GND,1.2111665507042533,2393,0.7902214793146678,3
Fis_23077,614.9030678340894,2489,GND,2.047876207780078,2945,0.8451612903225807,3
Fis_23078,3.3423474594019353,59,GND,1.0056936615167684,59,1,3
Fis_23080,1.5125400822198571,86,GND,1.0025754211720408,87,0.9885057471264368,3
Fis_23082,11.308459540072365,291,GND,1.0192689986753836,320,0.909375,3
Fis_23084,0.07563691143968754,43,GND,1.0001267429699157,80,0.5375,2
Fis_23101,192.09819597188084,1995,GND,1.3273592693149652,2391,0.8343789209535759,3
Fis_23103,17.06474926212104,624,GND,1.0290784983369683,643,0.9704510108864697,3
Fis_23104,160.96868929269112,608,GND,1.2743103610806987,849,0.7161366313309776,3
Fis_23105,52.53405288473368,995,GND,1.0895230101116178,1162,0.8562822719449226,3
Fis_23113,129.7399448247088,1197,GND,1.2210923381731649,1496,0.8001336898395722,3
Fis_23121,13.953369649565502,237,GND,1.0237762848053042,237,1,3
Fis_23123,198.855288501396,869,GND,1.3388742729166228,1245,0.697991967871486,3
Fis_23124,8.088469815818371,92,GND,1.0137816987590178,92,1,3
Fis_23126,50.618585902499035,182,GND,1.0862587941632724,211,0.8625592417061612,3
Fis_23127,551.7870161577691,19388,GND,1.940317881591612,20921,0.9267243439606138,3
Fis_23128,448.4900671508658,896,GND,1.7642858478938153,1170,0.7658119658119659,3
Fis_23129,533.5274973852472,1972,GND,1.909201181100726,2503,0.7878545745105873,3
Fis_23138,66.11209283955395,210,GND,1.112661834731861,250,0.84,3
Fis_23144,9.488846043124797,39,GND,1.0161681300873846,39,1,3
Fis_23146,11.09381348604802,57,GND,1.0189032126402842,57,1,3
Fis_23149,715.8824507542222,2491,GND,2.219958794031407,3050,0.8167213114754098,3
Fis_23153,13.275033775600605,357,GND,1.022620308326113,398,0.8969849246231156,3
Fis_23155,41.56642633939555,170,GND,1.0708326845582,323,0.5263157894736842,2
Fis_23156,54.46971388784005,288,GND,1.0928216394148276,304,0.9473684210526315,3
Fis_23157,890.9386911655421,4854,GND,2.51827840857332,5681,0.8544270374933991,3
Fis_23158,15.951726091266435,236,GND,1.0271817556528722,330,0.7151515151515152,3
Fis_23159,10.439183272414994,151,GND,1.0177876338266432,192,0.7864583333333334,3
Fis_23161,771.8613161895978,18080,GND,2.315354385299315,19636,0.9207577918109595,3
Fis_23193,466.02638340856174,1204,GND,1.7941701130544798,1578,0.7629911280101395,3
Fis_23198,204.7854850030053,1098,GND,1.348980133355309,1403,0.782608695652174,3
Fis_23201,9.77267488965299,287,GND,1.016651812999192,321,0.8940809968847352,3
Fis_23202,13.580768507701578,416,GND,1.023141321842787,472,0.8813559322033898,3
Fis_23204,4.746651500950975,275,GND,1.008086786374187,294,0.935374149659864,3
Fis_23220,11.052738631144166,54,GND,1.0188332155076285,54,1,3
Fis_23221,12.82486172087374,73,GND,1.0218531539902942,73,1,3
Fis_23222,486.61644105509777,20188,GND,1.8292583683836123,21850,0.9239359267734554,3
Fis_23223,10.288348548812792,278,GND,1.0175305909671666,298,0.9328859060402684,3
Fis_23239,653.5074756526046,1461,GND,2.113663362999331,1923,0.7597503900156006,3
Fis_23243,131.8162671735124,2405,GND,1.2246306735178774,2500,0.962,3
Fis_23252,9.71933604311198,61,GND,1.0165609163587588,61,1,3
Fis_23253,303.6572658164405,435,GND,1.5174710793052095,478,0.9100418410041841,3
Fis_23260,0.18357824836857617,24,GND,1.000310689671559,24,1,3
Fis_23273,994.9827527905692,13281,GND,2.6955836236654753,14898,0.8914619412001611,3
Fis_23274,1105.870555463356,13212,GND,2.884551503205327,14825,0.8911973018549747,3
Fis_23277,883.4582119933796,18869,GND,2.5055306558626205,20499,0.9204839260451729,3
Fis_23278,14.703510684232242,202,GND,1.025054627032854,345,0.5855072463768116,2
Fis_23280,28.2149939384326,536,GND,1.0480800299937068,590,0.9084745762711864,3
Fis_23292,3.8860373410279863,129,GND,1.006620182933748,156,0.8269230769230769,3
Fis_23311,356.70039970830385,1086,GND,1.6078637852123825,1406,0.7724039829302988,3
Fis_23322,470.83737163343903,1226,GND,1.802368690548426,1591,0.7705845380263985,3
Fis_23898,863.8284598728612,15134,GND,2.472078891604534,16730,0.9046025104602511,3
Fis_23899,1159.9261832844654,20489,GND,2.9766696363122893,22145,0.9252201399864529,3
Fis_23993,11.324682381004097,44,GND,1.019296644600157,44,1,3
Fis_24044,11.69421305321157,53,GND,1.0199263750652654,53,1,3
Fis_24046,8.827375063672662,47,GND,1.01504089367949,47,1,3
Fis_24098,1172.1422786694543,15108,GND,2.997487522369332,16727,0.9032103784300831,3
Fis_24127,918.018459777226,13848,GND,2.564426012995421,15446,0.8965427942509387,3
Fis_24153,43.372732429834286,986,GND,1.0739108755177356,1293,0.7625676720804331,3
Fis_24377,1.632139230147004,6,GND,1.002779234367305,7,0.8571428571428571,3
Fis_24448,426.34912346945794,945,GND,1.7265546720779048,1326,0.7126696832579186,3
Fis_25062,52.14565868806676,437,GND,1.0888611336382756,666,0.6561561561561562,2
Fis_25233,87.8732749050323,693,GND,1.149745845164717,738,0.9390243902439024,3
Fis_25412,6.52016122914938,92,GND,1.0111090878771745,93,0.989247311827957,3
Fis_25414,4.467677472799551,53,GND,1.0076113767324066,53,1,3
Fis_25470,317.29485395751453,544,GND,1.540711382124277,725,0.7503448275862069,3
Fis_25603,443.6691580802908,1029,GND,1.7560703639310822,1423,0.7231201686577653,3
Fis_25664,323.36933040014264,685,GND,1.5510631151824696,1011,0.6775469831849654,3
Fis_25886,5.4562743321293965,244,GND,1.0092960800787123,277,0.8808664259927798,3
Fis_25888,632.902538919266,1289,GND,2.078549751685006,1731,0.7446562680531484,3
Fis_25889,557.839413726957,734,GND,1.9506319892501116,999,0.7347347347347347,3
Fis_25892,372.0030633549905,481,GND,1.6339416028886775,612,0.7859477124183006,3
Fis_25894,16.61998866155045,241,GND,1.0283205658541623,288,0.8368055555555556,3
Fis_25895,8.992373770452105,279,GND,1.0153220738904365,297,0.9393939393939394,3
Fis_25897,10.728869522496096,219,GND,1.0182812985498155,313,0.6996805111821086,3
Fis_25899,529.034338774677,15810,GND,1.9015442284457875,17319,0.9128702580980426,3
Fis_25900,11.586234366171992,305,GND,1.0197423647139594,336,0.9077380952380952,3
Fis_25902,285.41125522162156,1234,GND,1.4863773985841762,1589,0.776589049716803,3
Fis_25903,246.30947341190677,539,GND,1.4197426505171098,652,0.8266871165644172,3
Fis_25905,10.114979025580396,47,GND,1.0172351457478332,47,1,3
Fis_26085,254.81335411668852,1461,GND,1.434234418465514,1908,0.7657232704402516,3
Fis_26148,506.7136420009774,1298,GND,1.8635067289416771,1701,0.7630805408583187,3
Fis_26519,460.320964940257,1474,GND,1.7844473049199867,1826,0.8072289156626506,3
Fis_26902,523.8907149690931,1277,GND,1.8927787947347416,1678,0.76102502979737785,3
Fis_26903,675.56402835481,1523,GND,2.151250725122411,1966,0.7746693794506613,3
Fis_26906,432.78106622554697,898,GND,1.7375155762949936,1191,0.7539882451721243,3
Fis_26932,594.8150958461722,1090,GND,2.0136435746201085,1512,0.7208994708994709,3
Fis_27224,342.7529362832429,506,GND,1.584095412813745,580,0.8724137931034482,3
Fis_27236,45.780497225916406,152,GND,1.078014033818103,200,0.76,3
Fis_27240,569.5606013161305,1091,GND,1.9706064851913003,1452,0.7513774104683195,3
Fis_27676,296.2297726223196,893,GND,1.5048136218990835,1076,0.8299256505576208,3
Fis_27677,2.9119576872471953,32,GND,1.0049602188778182,32,1,3
